"GEO_ID","id"
"NAME","Geographic Area Name"
"POPGROUP","Race/Ethnic Group"
"POPGROUP_LABEL","Population Groups"
"B25071_001E","Estimate!!Median gross rent as a percentage of household income"
"B25071_001M","Margin of Error!!Median gross rent as a percentage of household income"
