"GEO_ID","id"
"B14002_034M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 1 to grade 4"
"B14002_035E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Public school"
"B14002_035M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Public school"
"B14002_036E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Private school"
"B14002_036M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 1 to grade 4!!Private school"
"B14002_037E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 5 to grade 8"
"B14002_037M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 5 to grade 8"
"B14002_038E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Public school"
"B14002_038M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Public school"
"B14002_039E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Private school"
"B14002_039M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 5 to grade 8!!Private school"
"B14002_040E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 9 to grade 12"
"B14002_040M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 9 to grade 12"
"B14002_041E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 9 to grade 12!!Public school"
"B14002_041M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 9 to grade 12!!Public school"
"B14002_042E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in grade 9 to grade 12!!Private school"
"B14002_042M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in grade 9 to grade 12!!Private school"
"B14002_043E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in college undergraduate years"
"B14002_043M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in college undergraduate years"
"B14002_044E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in college undergraduate years!!Public school"
"B14002_044M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in college undergraduate years!!Public school"
"B14002_045E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in college undergraduate years!!Private school"
"B14002_045M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in college undergraduate years!!Private school"
"B14002_046E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in graduate or professional school"
"B14002_046M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in graduate or professional school"
"B14002_047E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in graduate or professional school!!Public school"
"B14002_047M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in graduate or professional school!!Public school"
"B14002_048E","Estimate!!Total!!Female!!Enrolled in school!!Enrolled in graduate or professional school!!Private school"
"B14002_048M","Margin of Error!!Total!!Female!!Enrolled in school!!Enrolled in graduate or professional school!!Private school"
"B14002_049E","Estimate!!Total!!Female!!Not enrolled in school"
"B14002_049M","Margin of Error!!Total!!Female!!Not enrolled in school"
