"GEO_ID","id"
"NAME","Geographic Area Name"
"POPGROUP","Race/Ethnic Group"
"POPGROUP_LABEL","Population Groups"
"B25077_001E","Estimate!!Median value (dollars)"
"B25077_001M","Margin of Error!!Median value (dollars)"
