"GEO_ID","POPGROUP","POPGROUP_LABEL","NAME","B19013_001E","B19013_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"0500000US01001","002","White alone","Autauga County, Alabama","56854","3675"
"0500000US01003","002","White alone","Baldwin County, Alabama","52594","1550"
"0500000US01005","002","White alone","Barbour County, Alabama","45039","3878"
"0500000US01007","002","White alone","Bibb County, Alabama","42263","3505"
"0500000US01009","002","White alone","Blount County, Alabama","46601","3300"
"0500000US01011","002","White alone","Bullock County, Alabama","52930","11284"
"0500000US01013","002","White alone","Butler County, Alabama","42922","4336"
"0500000US01015","002","White alone","Calhoun County, Alabama","46399","1762"
"0500000US01017","002","White alone","Chambers County, Alabama","42336","3938"
"0500000US01019","002","White alone","Cherokee County, Alabama","36679","1911"
"0500000US01021","002","White alone","Chilton County, Alabama","43395","2208"
"0500000US01023","002","White alone","Choctaw County, Alabama","45321","4468"
"0500000US01025","002","White alone","Clarke County, Alabama","41390","3323"
"0500000US01027","002","White alone","Clay County, Alabama","37166","4919"
"0500000US01029","002","White alone","Cleburne County, Alabama","38886","3427"
"0500000US01031","002","White alone","Coffee County, Alabama","51998","2705"
"0500000US01033","002","White alone","Colbert County, Alabama","44296","2429"
"0500000US01035","002","White alone","Conecuh County, Alabama","32746","5416"
"0500000US01037","002","White alone","Coosa County, Alabama","42727","3849"
"0500000US01039","002","White alone","Covington County, Alabama","39636","2607"
"0500000US01041","002","White alone","Crenshaw County, Alabama","42771","4520"
"0500000US01043","002","White alone","Cullman County, Alabama","39378","1531"
"0500000US01045","002","White alone","Dale County, Alabama","49655","2650"
"0500000US01047","002","White alone","Dallas County, Alabama","51431","5347"
"0500000US01049","002","White alone","DeKalb County, Alabama","38909","1403"
"0500000US01051","002","White alone","Elmore County, Alabama","58246","2630"
"0500000US01053","002","White alone","Escambia County, Alabama","39557","2588"
"0500000US01055","002","White alone","Etowah County, Alabama","41841","1892"
"0500000US01057","002","White alone","Fayette County, Alabama","36892","1977"
"0500000US01059","002","White alone","Franklin County, Alabama","36562","2471"
"0500000US01061","002","White alone","Geneva County, Alabama","37725","2978"
"0500000US01063","002","White alone","Greene County, Alabama","45136","14922"
"0500000US01065","002","White alone","Hale County, Alabama","47035","4841"
"0500000US01067","002","White alone","Henry County, Alabama","50725","3859"
"0500000US01069","002","White alone","Houston County, Alabama","48967","1470"
"0500000US01071","002","White alone","Jackson County, Alabama","38158","1390"
"0500000US01073","002","White alone","Jefferson County, Alabama","60497","935"
"0500000US01075","002","White alone","Lamar County, Alabama","37267","2753"
"0500000US01077","002","White alone","Lauderdale County, Alabama","45208","1651"
"0500000US01079","002","White alone","Lawrence County, Alabama","40061","2786"
"0500000US01081","002","White alone","Lee County, Alabama","50270","1935"
"0500000US01083","002","White alone","Limestone County, Alabama","51636","2161"
"0500000US01085","002","White alone","Lowndes County, Alabama","56045","8945"
"0500000US01087","002","White alone","Macon County, Alabama","39335","4289"
"0500000US01089","002","White alone","Madison County, Alabama","66922","1431"
"0500000US01091","002","White alone","Marengo County, Alabama","54205","6617"
"0500000US01093","002","White alone","Marion County, Alabama","32698","2591"
"0500000US01095","002","White alone","Marshall County, Alabama","39540","1382"
"0500000US01097","002","White alone","Mobile County, Alabama","53398","910"
"0500000US01099","002","White alone","Monroe County, Alabama","37849","4040"
"0500000US01101","002","White alone","Montgomery County, Alabama","61342","2218"
"0500000US01103","002","White alone","Morgan County, Alabama","48739","1505"
"0500000US01105","002","White alone","Perry County, Alabama","43906","9514"
"0500000US01107","002","White alone","Pickens County, Alabama","41392","1903"
"0500000US01109","002","White alone","Pike County, Alabama","44427","2190"
"0500000US01111","002","White alone","Randolph County, Alabama","40027","2359"
"0500000US01113","002","White alone","Russell County, Alabama","44182","4864"
"0500000US01115","002","White alone","St. Clair County, Alabama","53010","2073"
"0500000US01117","002","White alone","Shelby County, Alabama","72574","2302"
"0500000US01119","002","White alone","Sumter County, Alabama","48636","9975"
"0500000US01121","002","White alone","Talladega County, Alabama","40996","1513"
"0500000US01123","002","White alone","Tallapoosa County, Alabama","47741","2603"
"0500000US01125","002","White alone","Tuscaloosa County, Alabama","55568","1479"
"0500000US01127","002","White alone","Walker County, Alabama","36618","1693"
"0500000US01129","002","White alone","Washington County, Alabama","44052","2582"
"0500000US01131","002","White alone","Wilcox County, Alabama","43516","10916"
"0500000US01133","002","White alone","Winston County, Alabama","33770","2339"
"0500000US02013","002","White alone","Aleutians East Borough, Alaska","72639","13470"
"0500000US02016","002","White alone","Aleutians West Census Area, Alaska","97321","5085"
"0500000US02020","002","White alone","Anchorage Municipality, Alaska","87235","2008"
"0500000US02050","002","White alone","Bethel Census Area, Alaska","92647","13970"
"0500000US02060","002","White alone","Bristol Bay Borough, Alaska","88000","10334"
"0500000US02068","002","White alone","Denali Borough, Alaska","81029","5937"
"0500000US02070","002","White alone","Dillingham Census Area, Alaska","81161","10726"
"0500000US02090","002","White alone","Fairbanks North Star Borough, Alaska","74242","2207"
"0500000US02100","002","White alone","Haines Borough, Alaska","67888","17264"
"0500000US02105","002","White alone","Hoonah-Angoon Census Area, Alaska","64000","9165"
"0500000US02110","002","White alone","Juneau City and Borough, Alaska","90553","4746"
"0500000US02122","002","White alone","Kenai Peninsula Borough, Alaska","64663","2554"
"0500000US02130","002","White alone","Ketchikan Gateway Borough, Alaska","73313","5771"
"0500000US02150","002","White alone","Kodiak Island Borough, Alaska","82857","8764"
"0500000US02158","002","White alone","Kusilvak Census Area, Alaska","63750","16013"
"0500000US02164","002","White alone","Lake and Peninsula Borough, Alaska","72500","18384"
"0500000US02170","002","White alone","Matanuska-Susitna Borough, Alaska","74141","1624"
"0500000US02180","002","White alone","Nome Census Area, Alaska","85455","6536"
"0500000US02185","002","White alone","North Slope Borough, Alaska","86250","45407"
"0500000US02188","002","White alone","Northwest Arctic Borough, Alaska","99444","14137"
"0500000US02195","002","White alone","Petersburg Borough, Alaska","64813","6362"
"0500000US02198","002","White alone","Prince of Wales-Hyder Census Area, Alaska","53185","5761"
"0500000US02220","002","White alone","Sitka City and Borough, Alaska","81029","5611"
"0500000US02230","002","White alone","Skagway Municipality, Alaska","72589","5984"
"0500000US02240","002","White alone","Southeast Fairbanks Census Area, Alaska","71349","5431"
"0500000US02261","002","White alone","Valdez-Cordova Census Area, Alaska","82090","4955"
"0500000US02275","002","White alone","Wrangell City and Borough, Alaska","53295","5735"
"0500000US02282","002","White alone","Yakutat City and Borough, Alaska","76250","6942"
"0500000US02290","002","White alone","Yukon-Koyukuk Census Area, Alaska","63000","5823"
"0500000US04001","002","White alone","Apache County, Arizona","42488","5502"
"0500000US04003","002","White alone","Cochise County, Arizona","46090","1452"
"0500000US04005","002","White alone","Coconino County, Arizona","55850","1888"
"0500000US04007","002","White alone","Gila County, Arizona","40745","1729"
"0500000US04009","002","White alone","Graham County, Arizona","47676","2716"
"0500000US04011","002","White alone","Greenlee County, Arizona","48375","6376"
"0500000US04012","002","White alone","La Paz County, Arizona","35247","5507"
